pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
TOI-1695 b,TOI-1695,1,1,1,Transit,2022,3.1342791,0.033548,1.9,6.36,698,3690,0
TOI-1696 b,TOI-1696,1,1,1,Transit,2022,2.500311,0.0229,3.09,48.8,489,3185,0.336
TOI-1710 b,TOI-1710,1,2,1,Transit,2022,24.283377,0.166,5.20315158,22.4,602.99,5684,0.147
TOI-1716.01,TOI-1716,1,1,1,Transit,2024,8.082376554,0.080496,3.143,,,5879,
TOI-172 b,TOI-172,1,1,1,Transit,2019,9.47725,0.0914,10.816685,1722.6386,1198,5645,0.148
TOI-1723 b,TOI-1723,1,1,1,Transit,2024,13.72701264,0.113496,3.435,,,5777,
TOI-1728 b,TOI-1728,1,1,1,Transit,2020,3.49151,0.0391,5.05,26.78,767,3980,0.25
TOI-1736 b,TOI-1736,1,1,2,Transit,2023,7.073076,0.073,3.18175535,12.3,1099.79,5636,0.148
TOI-1736 c,TOI-1736,1,1,2,Radial Velocity,2023,571.25,1.37,,2441,,5636,0.148
TOI-1739 b,TOI-1739,1,1,1,Transit,2024,8.303341406,0.073872,1.946,,,4814,
TOI-1742 b,TOI-1742,1,1,1,Transit,2024,21.269084,0.154,2.36507598,9.7,694.09,5815,0.193
TOI-1743 b,TOI-1743,1,1,1,Transit,2025,4.266046,0.03589,1.83,,485,3277,0.22
TOI-1744.01,TOI-1744,1,1,1,Transit,2024,22.34170293,0.164086,2.68,,,6179,
TOI-1749 b,TOI-1749,1,1,3,Transit,2021,2.38839,0.0291,1.39,57,831,3985,-0.26
TOI-1749 c,TOI-1749,1,1,3,Transit,2021,4.4929,0.0443,2.12,14,673,3985,-0.26
TOI-1749 d,TOI-1749,1,1,3,Transit,2021,9.0497,0.0707,2.52,15,533,3985,-0.26
TOI-1751 b,TOI-1751,1,1,1,Transit,2024,37.46852,0.215,2.9507845,19.5,651.64,5970,-0.373
TOI-1753 b,TOI-1753,1,1,1,Transit,2024,5.3846104,0.059,2.47852533,16.6,1005.43,5621,0.026
TOI-1758 b,TOI-1758,1,1,1,Transit,2024,20.70507469,0.141409,3.62,,,5169,
TOI-1759 b,TOI-1759,1,1,1,Transit,2022,18.85019,0.1177,3.14,10.8,443,4065,0.05
TOI-1768.01,TOI-1768,1,1,1,Transit,2024,7.337703649,0.076381,3.453,,,5994,
TOI-1772.01,TOI-1772,1,1,1,Transit,2024,8.054246874,0.078375,2.905,,,5583,
TOI-1775 b,TOI-1775,1,1,1,Transit,2024,10.2405549,0.08,8.04728896,96,707.89,5284,0.162
TOI-1776 b,TOI-1776,1,1,1,Transit,2024,2.799868,0.0378,1.21612741,1.4,1269.21,5785,-0.193
TOI-1777.01,TOI-1777,1,1,1,Transit,2024,14.65011197,0.119466,2.246,,,5859,
TOI-178 b,TOI-178,1,1,6,Transit,2021,1.9145601,,1.2,0.96,,4316,-0.23
TOI-178 c,TOI-178,1,1,6,Transit,2021,3.238486,,1.754,4.64,,4316,-0.23
TOI-178 d,TOI-178,1,1,6,Transit,2021,6.557569,,2.695,5.2,,4316,-0.23
TOI-178 e,TOI-178,1,1,6,Transit,2021,9.96318,,2.301,3.48,,4316,-0.23
TOI-178 f,TOI-178,1,1,6,Transit,2021,15.23335,,2.417,5.63,,4316,-0.23
TOI-178 g,TOI-178,1,1,6,Transit,2021,20.71663,,2.939,4.4,,4316,-0.23
TOI-1782.01,TOI-1782,1,1,2,Transit,2024,4.987641028,0.05024,2.368,,,4336,
TOI-1782.02,TOI-1782,1,1,2,Transit,2024,1.829024227,0.025739,1.839,,,4336,
TOI-1789 b,TOI-1789,1,1,1,Transit,2021,3.208664,0.04882,16.14093221,222.4798849,1927,5991,0.373
TOI-1794 b,TOI-1794,1,1,1,Transit,2024,8.765528,0.082,3.29701268,8.7,992.91,5631,0.035
TOI-1798.01,TOI-1798,1,1,2,Transit,2024,8.021522331,0.074984,2.448,,,5165,
TOI-1798.02,TOI-1798,1,1,2,Transit,2024,0.437811822,0.010789,1.464,,,5165,
